Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34;Column35;Column36;Column37
58472;2204109300 Ігристе вино Valmarone Prosecco 0.180л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58562;2204109300 Ігристе вино Valmarone Prosecco 0.180л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58736;2204109300 Ігристе вино Valmarone Prosecco 0.180л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58740;2204109300 Ігристе вино Valmarone Prosecco 0.180л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59423;2204109300 Ігристе вино Valmarone Prosecco 0.180л;2203001000 Пиво Kronenbourg blanc 500мл;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59387;2204109300 Ігристе вино Valmarone Prosecco 0.180л;2203001000 Пиво Kronenbourg blanc 500мл;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59573;2204109300 Ігристе вино Valmarone Prosecco 0.180л;2204214800 Вино Sauvignon Blanc Marlborough Sun 1л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59907;2204109300 Ігристе вино Valmarone Prosecco 0.180л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59909;2204109300 Ігристе вино Valmarone Prosecco 0.180л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60230;2204109300 Ігристе вино Valmarone Prosecco 0.180л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60400;2204109300 Ігристе вино Valmarone Prosecco 0.180л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62618;2204109300 Ігристе вино Valmarone Prosecco 0.180л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62742;2204109300 Ігристе вино Valmarone Prosecco 0.180л;2204109300 Ігристе вино Valmarone Prosecco 0.75л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62819;2204109300 Ігристе вино Valmarone Prosecco 0.180л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62881;2204109300 Ігристе вино Valmarone Prosecco 0.180л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62957;2204109300 Ігристе вино Valmarone Prosecco 0.180л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63329;2204109300 Ігристе вино Valmarone Prosecco 0.180л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63330;2204109300 Ігристе вино Valmarone Prosecco 0.180л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63396;2204109300 Ігристе вино Valmarone Prosecco 0.180л;2204219500 Вино Sarmientos Chardonnna1л;2208308200 Віскі Джемесон 1л;2203001000 Пиво Carlsberg 330мл;2203001000 Пиво Carlsberg 500мл;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63469;2204109300 Ігристе вино Valmarone Prosecco 0.180л;2203001000 Пиво Carlsberg 330мл;2203001000 Пиво Carlsberg 500мл;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63492;2204109300 Ігристе вино Valmarone Prosecco 0.180л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63585;2204109300 Ігристе вино Valmarone Prosecco 0.180л;2208202900 Коньяк Старий Кахеті 5р.1л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63580;2204109300 Ігристе вино Valmarone Prosecco 0.180л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63830;2204109300 Ігристе вино Valmarone Prosecco 0.180л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63919;2204109300 Ігристе вино Valmarone Prosecco 0.180л;2203001000 Пиво Kronenbourg blanc 250мл;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64207;2204109300 Ігристе вино Valmarone Prosecco 0.180л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64298;2204109300 Ігристе вино Valmarone Prosecco 0.180л;22089069 К-ль Апероль сприц;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64601;2204109300 Ігристе вино Valmarone Prosecco 0.180л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64795;2204109300 Ігристе вино Valmarone Prosecco 0.180л;2203001000 Пиво Kronenbourg blanc 500мл;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64980;2204109300 Ігристе вино Valmarone Prosecco 0.180л;2208308200 Віскі Джек Деніелс 1л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65131;2204109300 Ігристе вино Valmarone Prosecco 0.180л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65426;2204109300 Ігристе вино Valmarone Prosecco 0.180л;2204213800 Вино La Sastreria Garnacha Blanc 1л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65562;2204109300 Ігристе вино Valmarone Prosecco 0.180л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66057;2204109300 Ігристе вино Valmarone Prosecco 0.180л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66305;2204109300 Ігристе вино Valmarone Prosecco 0.180л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66334;2204109300 Ігристе вино Valmarone Prosecco 0.180л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35334;2204109300 Ігристе вино Valmarone Prosecco 0.75л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35644;2204109300 Ігристе вино Valmarone Prosecco 0.75л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35917;2204109300 Ігристе вино Valmarone Prosecco 0.75л;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
